Cep,Logradouro,Numero,Bairro,Cod Cidade,Cod Estado
1042020,Galeria Itapetininga,,República,8966,26
1042030,Galeria Califórnia,,República,8966,26
1042901,Rua Barão de Itapetininga 46,,República,8966,26
1042902,Rua Barão de Itapetininga 50,,República,8966,26
1042903,Rua Barão de Itapetininga 88,,República,8966,26
1042904,Rua Barão de Itapetininga 120,,República,8966,26
1042906,Rua Barão de Itapetininga 140,,República,8966,26
1042907,Rua Barão de Itapetininga 224,,República,8966,26
1042908,Rua Barão de Itapetininga 93,,República,8966,26
1042909,Rua Barão de Itapetininga 151,,República,8966,26
1042910,Rua Barão de Itapetininga 163,,República,8966,26
1042911,Rua Barão de Itapetininga 207,,República,8966,26
1042912,Rua Barão de Itapetininga 221,,República,8966,26
1042913,Rua Barão de Itapetininga 273,,República,8966,26
1042914,Rua Barão de Itapetininga 275,,República,8966,26
1042915,Rua Barão de Itapetininga 297,,República,8966,26
1042916,Rua Barão de Itapetininga 37,,República,8966,26
1043000,Rua Sete de Abril,- lado ímpar,República,8966,26
1043010,Rua Gabus Mendes,,República,8966,26
1043900,Rua Sete de Abril 59,,Centro,8966,26
1043901,Rua Sete de Abril 105,,Centro,8966,26
1043902,Rua Sete de Abril 125,,Centro,8966,26
1043904,Rua Sete de Abril 235,,Centro,8966,26
1043905,Rua Sete de Abril 261,,Centro,8966,26
1043906,Rua Sete de Abril 277,,Centro,8966,26
1043907,Rua Sete de Abril 309,,Centro,8966,26
1043908,Rua Sete de Abril 345,,Centro,8966,26
1043909,Rua Sete de Abril 309,,Centro,8966,26
1044000,Rua Sete de Abril,- lado par,República,8966,26
1044901,Rua Sete de Abril 34,,Centro,8966,26
1044902,Rua Sete de Abril 118,,Centro,8966,26
1044903,Rua Sete de Abril 252,,Centro,8966,26
1044904,Rua Sete de Abril 264,,Centro,8966,26
1044906,Rua Sete de Abril 296,,Centro,8966,26
1044907,Rua Sete de Abril 342,,Centro,8966,26
1044908,Rua Sete de Abril 386,,Centro,8966,26
1044909,Rua Sete de Abril 404,,Centro,8966,26
1045000,Praça da República,- lado par,República,8966,26
1045001,Praça da República,- lado ímpar,República,8966,26
1045010,Rua Pedro Américo,,República,8966,26
1045020,Rua Joaquim Gustavo,,República,8966,26
1045900,Praça da República 76/80,,República,8966,26
1045901,Praça da República 162,,República,8966,26
1045902,Praça da República 270,,República,8966,26
1045903,Praça da República 53,,República,8966,26
1045904,Praça da República 177,,República,8966,26
1045905,Praça da República 309,,República,8966,26
1045906,Praça da República 386,,República,8966,26
1045907,Praça da República 452,,República,8966,26
1045908,Praça da República 468,,República,8966,26
1045909,Praça da República 473,,República,8966,26
1045910,Praça da República 497,,República,8966,26
1045911,Rua Pedro Américo 32,,República,8966,26
1045912,Rua Pedro Américo 68,,República,8966,26
1046001,Avenida São Luís,- lado ímpar,República,8966,26
1046010,Avenida Ipiranga,- até 399/400,República,8966,26
1046020,Rua Basílio da Gama,,República,8966,26
1046030,Rua José Paulo Mantovan Freire,,República,8966,26
1046040,Rua Unaí,,República,8966,26
1046900,Avenida São Luís 50 3º andar Sala 32 D,,República,8966,26
1046902,Avenida São Luís 43,,Centro,8966,26
1046904,Avenida São Luís 86,,Centro,8966,26
1046905,Avenida São Luís 99,,Centro,8966,26
1046906,Avenida São Luís 112,,Centro,8966,26
1046908,Avenida São Luís 140,,Centro,8966,26
1046910,Avenida São Luís 141,,Centro,8966,26
1046911,Avenida São Luís 165,,Centro,8966,26
1046912,Avenida São Luís 187,,Centro,8966,26
1046913,Avenida São Luís 192,,Centro,8966,26
1046914,Avenida São Luís 234,,Centro,8966,26
1046915,Avenida São Luís 258,,Centro,8966,26
1046917,Avenida Ipiranga 81,,Centro,8966,26
1046918,Avenida Ipiranga 104,,Centro,8966,26
1046919,Avenida Ipiranga 165,,Centro,8966,26
1046920,Avenida Ipiranga 282,,Centro,8966,26
1046921,Avenida Ipiranga 313,,Centro,8966,26
1046922,Avenida Ipiranga 324,,Centro,8966,26
1046923,Avenida Ipiranga 345,,Centro,8966,26
1046924,Avenida Ipiranga 200,,República,8966,26
1046925,Avenida Ipiranga 200,,República,8966,26
1046926,Avenida São Luís 50,,República,8966,26
1046927,Avenida Ipiranga 318,,República,8966,26
1047000,Rua Marconi,,República,8966,26
1047010,Praça Dom José Gaspar,,República,8966,26
1047020,Rua Doutor Bráulio Gomes,,República,8966,26
1047904,Rua Marconi 34,,Centro,8966,26
1047905,Rua Marconi 53,,Centro,8966,26
1047906,Rua Marconi 87,,Centro,8966,26
1047907,Rua Marconi 94,,Centro,8966,26
1047908,Rua Marconi 107,,Centro,8966,26
